PLATFORM_NUMBER,CYCLE_NUMBER,PLATFORM_TYPE,DIRECTION,time,latitude,longitude,PRES,PRES_QC,TEMP,TEMP_QC,PSAL,PSAL_QC
,,,,UTC,degrees_north,degrees_east,decibar,,degree_Celsius,,PSU,
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1925.1,1,2.85,1,34.774,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1968.9,1,2.74,1,34.772,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,2.4,1,29.974,1,34.539,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,3.3,1,29.975,1,34.538,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,4.5,1,29.972,1,34.54,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,5.5,1,29.975,1,34.539,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,6.5,1,29.977,1,34.538,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,7.5,1,29.975,1,34.54,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,8.6,1,29.966,1,34.539,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,9.5,1,29.963,1,34.54,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,10.5,1,29.956,1,34.541,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,11.5,1,29.961,1,34.54,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,12.6,1,29.96,1,34.54,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,13.5,1,29.956,1,34.541,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,14.4,1,29.95,1,34.541,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,15.5,1,29.946,1,34.541,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,16.4,1,29.947,1,34.541,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,17.5,1,29.927,1,34.544,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,18.5,1,29.923,1,34.542,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,19.6,1,29.919,1,34.542,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,25.5,1,29.809,1,34.552,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,34.9,1,29.238,1,34.628,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,44.8,1,28.65,1,34.844,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,55.0,1,27.458,1,35.016,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,64.8,1,25.757,1,35.078,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,75.1,1,23.967,1,35.129,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,85.1,1,22.883,1,35.149,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,94.9,1,21.292,1,35.182,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,105.0,1,19.879,1,35.228,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,114.9,1,19.342,1,35.24,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,125.1,1,18.92,1,35.202,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,134.9,1,17.458,1,35.133,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,144.8,1,15.808,1,35.011,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,155.4,1,14.657,1,34.955,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,165.0,1,14.258,1,34.941,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,175.1,1,13.978,1,34.98,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,185.0,1,13.61,1,35.045,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,195.0,1,13.382,1,35.049,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,210.0,1,12.954,1,35.032,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,229.8,1,12.659,1,35.06,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,250.0,1,12.331,1,35.059,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,270.0,1,12.016,1,35.035,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,290.2,1,11.539,1,34.99,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,310.6,1,11.308,1,34.992,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,329.7,1,11.111,1,34.976,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,349.6,1,10.819,1,34.946,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,370.0,1,10.549,1,34.923,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,390.0,1,10.28,1,34.904,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,410.1,1,10.142,1,34.912,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,430.0,1,9.942,1,34.904,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,449.7,1,9.718,1,34.89,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,469.7,1,9.515,1,34.878,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,490.1,1,9.324,1,34.873,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,512.7,1,9.166,1,34.881,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,537.6,1,8.97,1,34.878,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,562.5,1,8.799,1,34.876,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,587.5,1,8.687,1,34.879,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,612.6,1,8.532,1,34.885,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,637.5,1,8.395,1,34.88,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,662.5,1,8.175,1,34.872,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,687.6,1,7.888,1,34.857,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,712.6,1,7.732,1,34.861,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,737.6,1,7.614,1,34.871,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,762.7,1,7.471,1,34.873,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,787.6,1,7.601,1,34.925,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,812.3,1,7.482,1,34.927,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,837.6,1,7.228,1,34.905,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,862.4,1,7.218,1,34.933,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,887.2,1,7.05,1,34.923,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,912.3,1,6.666,1,34.875,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,937.6,1,6.383,1,34.846,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,962.4,1,6.262,1,34.845,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,987.7,1,6.154,1,34.842,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1025.0,1,5.98,1,34.834,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1075.5,1,5.712,1,34.828,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1124.2,1,5.488,1,34.826,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1175.0,1,5.293,1,34.825,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1225.1,1,5.139,1,34.818,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1274.7,1,5.013,1,34.812,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1325.1,1,4.858,1,34.806,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1375.3,1,4.679,1,34.807,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1424.8,1,4.447,1,34.804,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1474.7,1,4.272,1,34.805,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1525.3,1,4.029,1,34.8,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1575.0,1,3.756,1,34.796,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1625.1,1,3.566,1,34.791,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1675.1,1,3.412,1,34.791,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1724.9,1,3.316,1,34.793,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1774.9,1,3.236,1,34.794,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1824.7,1,3.109,1,34.788,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1874.9,1,2.985,1,34.782,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1925.0,1,2.866,1,34.779,1
2903951,11,PROVOR_III,A,2025-04-11T13:33:00Z,-3.207761666666667,79.35372,1972.0,1,2.751,1,34.776,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,2.5,1,29.684,1,34.751,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,3.5,1,29.684,1,34.752,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,4.5,1,29.684,1,34.752,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,5.5,1,29.685,1,34.752,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,6.6,1,29.68,1,34.751,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,7.6,1,29.674,1,34.751,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,8.6,1,29.676,1,34.75,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,9.5,1,29.665,1,34.752,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,10.5,1,29.661,1,34.75,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,11.5,1,29.645,1,34.751,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,12.5,1,29.624,1,34.752,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,13.5,1,29.609,1,34.751,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,14.6,1,29.6,1,34.75,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,15.5,1,29.595,1,34.752,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,16.4,1,29.559,1,34.755,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,17.5,1,29.545,1,34.755,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,18.6,1,29.52,1,34.76,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,19.6,1,29.494,1,34.766,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,25.3,1,29.381,1,34.799,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,35.2,1,29.175,1,34.864,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,44.9,1,28.816,1,34.929,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,54.9,1,27.544,1,35.049,1
2903951,12,PROVOR_III,A,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,65.3,1,26.505,1,35.091,1
